dataset,metric,issue_type,count,notes
orders_transactions,non_gt_modified,missing_values,1,Changed cells outside repairable ground truth attributed to this repair issue type.
orders_transactions,non_gt_modified,numeric_outlier,39,Changed cells outside repairable ground truth attributed to this repair issue type.
orders_transactions,non_gt_modified,rare_category,0,Changed cells outside repairable ground truth attributed to this repair issue type.
orders_transactions,review_only_skipped,duplicate_record,12,Skipped / review-only; not counted as automatic repair failure.
orders_transactions,review_only_skipped,cross_column_consistency,16,Skipped / review-only; not counted as automatic repair failure.
orders_transactions,changed_cells_observed,Overall,112,All observed changed cells between corrupted and repaired CSV.
